data_hora_inicio;nro_telefone_chamado;duracao_ligacao;desc_categoria;valor_ligacao
2020-05-29 09:32:06;"";1.0;ADICIONAL;0.00
2020-05-29 07:36:10;"";1.0;ADICIONAL;0.00
2020-05-28 16:54:08;"";1.0;ADICIONAL;0.00
2020-05-28 14:59:15;"";1.0;ADICIONAL;0.00
2020-05-27 16:51:47;"";1.0;ADICIONAL;0.00
2020-05-27 13:18:01;"";1.0;ADICIONAL;0.00
2020-05-27 12:53:09;"";1.0;ADICIONAL;0.00
2020-05-27 09:53:20;"";1.0;ADICIONAL;0.00
2020-05-26 18:45:34;"";1.0;ADICIONAL;0.00
2020-05-26 18:00:47;"";1.0;ADICIONAL;0.00
2020-05-26 17:27:56;"";1.0;ADICIONAL;0.00
2020-05-26 17:22:11;"";1.0;ADICIONAL;0.00
2020-05-26 17:12:43;"";1.0;ADICIONAL;0.00
2020-05-26 10:04:33;"";1.0;ADICIONAL;0.00
2020-05-22 16:15:57;"";1.0;ADICIONAL;0.00
2020-05-22 16:05:13;"";1.0;ADICIONAL;0.00
2020-05-21 17:32:49;"";1.0;ADICIONAL;0.00
2020-05-21 17:11:39;"";1.0;ADICIONAL;0.00
2020-05-21 17:02:58;"";1.0;ADICIONAL;0.00
2020-05-21 16:41:28;"";1.0;ADICIONAL;0.00
2020-05-21 09:11:20;"";1.0;ADICIONAL;0.00
2020-05-21 07:33:28;"";1.0;ADICIONAL;0.00
2020-05-20 15:38:35;"";1.0;ADICIONAL;0.00
2020-05-20 08:37:26;"";1.0;ADICIONAL;0.00
2020-05-20 07:55:29;"";1.0;ADICIONAL;0.00
2020-05-18 15:16:58;"";1.0;ADICIONAL;0.00
2020-05-18 14:58:33;11994465125;1.0;ADICIONAL;0.00
2020-05-18 14:58:01;11994465125;1.0;ADICIONAL;0.00
2020-05-18 11:22:00;"";1.0;ADICIONAL;0.00
2020-05-15 11:35:02;"";1.0;ADICIONAL;0.00
2020-05-14 16:52:36;"";1.0;ADICIONAL;0.00
2020-05-14 15:59:18;"";1.0;ADICIONAL;0.00
2020-05-14 13:59:24;"";1.0;ADICIONAL;0.00
2020-05-14 13:48:04;"";1.0;ADICIONAL;0.00
2020-05-14 09:26:46;"";1.0;ADICIONAL;0.00
2020-05-14 08:49:06;"";1.0;ADICIONAL;0.00
2020-05-13 13:47:42;"";1.0;ADICIONAL;0.00
2020-05-12 16:55:55;"";1.0;ADICIONAL;0.00
2020-05-12 15:48:46;"";1.0;ADICIONAL;0.00
2020-05-12 08:53:41;"";1.0;ADICIONAL;0.00
2020-05-11 16:41:24;"";1.0;ADICIONAL;0.00
2020-05-06 16:31:06;"";1.0;ADICIONAL;0.00
2020-05-06 16:08:58;"";1.0;ADICIONAL;0.00
2020-05-06 15:25:57;"";1.0;ADICIONAL;0.00
2020-05-06 14:00:27;"";1.0;ADICIONAL;0.00
2020-05-05 16:15:12;"";1.0;ADICIONAL;0.00
2020-05-05 13:30:29;"";1.0;ADICIONAL;0.00
2020-05-05 12:42:25;1132855076;1.0;ADICIONAL;0.00
2020-05-04 15:44:18;"";1.0;ADICIONAL;0.00
2020-05-04 15:39:09;"";1.0;ADICIONAL;0.00
2020-05-04 13:11:49;"";1.0;ADICIONAL;0.00
2020-05-04 11:45:46;"";1.0;ADICIONAL;0.00
2020-05-29 10:37:13;11  36090241;50.0;Para Fixo Vivo;
2020-05-29 09:43:36;11  36090241;62.0;Para Fixo Vivo;
2020-05-29 09:35:54;11  36090241;5.0;Para Fixo Vivo;
2020-05-28 08:41:25;11  36090241;59.0;Para Fixo Vivo;
2020-05-28 08:31:20;11  36090241;5.0;Para Fixo Vivo;
2020-05-26 17:17:37;11  30396856;16.0;Para Fixo Vivo;
